"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","HS4","HS4 ID"
-1.7597235599,-1.7946370592,-1.7771362327,-1.7438352528,-1.8371619168,-1.753867736,-1.8488599919,-1.7808101146,-1.8632807912,-1.7501307157,-1.7756807548,-1.6701099772,-1.6919381232,-1.7272680562,-1.7761550145,-1.6852460198,-1.7350493658,-1.5731821835,-1.259428577,-1.3960480435,-1.6088264089,-1.4024410489,-1.3901418773,-1.4367128957,-1.3908038699,"Cut Flowers","0603"
-1.0207002543,-1.1563730736,-1.0565612989,-1.1685829713,-1.1489763678,-1.2615803596,-1.1373439538,-1.2423588929,-1.2252041051,-1.2306327902,-1.2032115729,-1.2287557281,-1.2264798509,-1.3690759994,-1.356957823,-1.1501725881,-1.0967074644,-1.1652613171,-1.1338162936,-1.1672937379,-1.0855790561,-1.1664181135,-1.0599911821,-0.9663514729,-1.0094275983,"Foliage","0604"
-0.5463491077,-0.5391519889,-0.6476879575,-0.6099099028,-0.7982526547,-0.864432603,-0.8717648028,-0.9169623522,-0.7866056707,-0.9044018897,-1.0137689981,-0.9379192706,-0.9674089557,-0.8541941143,-0.673559391,-0.8191727274,-0.8715749251,-0.9809413288,-0.9614931288,-0.9858927432,-0.968112066,-1.0424242403,-0.9302444574,-0.8354276093,-0.8521522233,"Potatoes","0701"
-0.9125529361,-1.1011615664,-1.032632914,-1.1017213307,-1.068930538,-0.9713437298,-1.0259371024,-0.9859677621,-1.0145496182,-1.1871258273,-1.2011819428,-1.2019638797,-1.2111921753,-1.1586561351,-1.260142593,-0.983805512,-0.9880189815,-1.0612983515,-1.0863095844,-1.1460545164,-1.1563954626,-1.3743538171,-1.6526167597,-1.7165128711,-1.4773828852,"Tomatoes","0702"
-1.4597936722,-1.4122358455,-1.4026334945,-1.3386074197,-1.5149611432,-1.5486361548,-1.5721645053,-1.5588012479,-1.6447210271,-1.6015378289,-1.6504089744,-1.5912866539,-1.6558007143,-1.7355127746,-1.65888324,-1.7626717436,-1.8465679921,-1.8128223063,-1.9105490108,-1.8052789926,-1.8765815064,-1.9270213083,-2.0250821206,-1.9845555155,-2.0309865563,"Onions","0703"
-0.5152160432,-0.5317455076,-0.6504280284,-0.8753723179,-0.894710662,-0.9691440951,-1.0292161214,-0.7019543598,-0.8888894874,-0.8498959554,-1.0362933976,-0.9927867551,-0.9660325563,-0.9290863497,-1.0683039863,-1.0239262829,-0.8894609214,-0.8568233558,-0.8318338095,-0.7833904295,-0.6984297735,-0.9847541114,-1.3003381317,-1.2196957583,-1.2349263207,"Cabbages","0704"
-0.3528614735,-0.4323995637,-0.0472005452,0.0473159797,0.20969901,-0.4133006944,-0.304459647,-0.4099104864,-0.1758562665,-0.1937893957,0.1429195177,-0.0868457022,-0.3608386231,-0.263061776,-0.3304359565,-0.303443042,-0.3257759124,-0.3634330164,-0.5176578726,-0.4518575512,-0.5302890878,-0.8785972504,-1.1081455235,-0.9553621241,-1.1808154482,"Lettuce","0705"
-0.0117632321,-0.2319400065,-0.4351816496,-0.776688823,-0.6203199592,-0.5169781209,-0.5961926947,-0.6691652184,-0.3408872221,-0.3179824132,-0.5839226949,-0.4816250463,-0.4437829619,-0.4515315203,-0.4918446387,-0.4436432018,-0.7714807824,-0.7097308321,-0.7064486415,-0.5843924299,-0.6029058197,-0.7805565302,-0.8329015692,-0.9046782943,-0.874421203,"Root Vegetables","0706"
-0.4906156715,-0.5737187315,-0.5301793269,-0.5334985004,-0.6874310895,-0.6735939026,-0.7780032454,-0.8247585815,-0.9130162016,-0.9882090152,-1.064896653,-1.0172293458,-1.0038164233,-1.121180033,-1.0882665086,-0.8206510528,-0.9671287574,-0.9744272872,-0.9084241971,-0.8759294397,-0.8896374791,-1.1283297833,-1.1654161405,-1.0711969768,-1.0726136673,"Cucumbers","0707"
,,,,,,,,-2.0231868567,-2.0978172011,-2.0421155149,-1.9842802447,-1.8612111113,-2.0666634141,-2.1146145335,-2.093831309,-2.1451684439,-2.083838169,-1.9649518668,-1.6826456802,-1.6860338701,-1.8417443201,-1.8820650885,-1.9301770332,-1.8750824751,"Legumes","0708"
-1.2834730658,-1.1403937775,-1.2357406037,-1.3232968975,-1.3600830926,-1.3610505891,-1.4020591512,-1.3061181115,-1.3356486608,-1.3186201306,-1.2952222402,-1.3504446939,-1.0978313499,-1.142578046,-1.2852403589,-1.2168721428,-1.2392323573,-1.2571939843,-1.2536245059,-1.196858829,-1.2464947636,-1.33057866,-1.5339563914,-1.3639164876,-1.2839669619,"Other Vegetables","0709"
